N,area_small,area_big
100,0.71875,1.38915
600,0.9375,0.85995
1100,0.975852,0.838902
1600,0.941406,0.781397
2100,0.912202,0.949725
2600,0.915264,0.969352
3100,0.943044,0.915431
3600,0.953559,0.931612
4100,0.946646,0.975309
4600,0.93784,0.921067
5100,0.942708,0.889134
5600,0.961496,1.0082
6100,0.948002,0.935318
6600,0.93892,0.837399
7100,0.943222,0.98107
7600,0.953331,0.954388
8100,0.95679,0.968975
8600,0.950036,0.957637
9100,0.950378,0.949725
9600,0.943197,0.979847
10100,0.942296,0.985373
10600,0.950619,0.9754
11100,0.949606,0.942191
11600,0.941406,0.941782
12100,0.936209,0.943868
12600,0.945685,0.939488
13100,0.94895,0.923323
13600,0.948415,0.930234
14100,0.937832,0.971138
14600,0.935895,0.947395
15100,0.933154,0.947566
15600,0.940905,0.940093
16100,0.958172,0.988552
16600,0.944089,0.927096
17100,0.946546,1.00966
17600,0.951438,0.942638
18100,0.948895,0.956617
18600,0.946237,0.945305
19100,0.932755,0.951729
19600,0.94316,0.917831
20100,0.943563,0.904873
20600,0.941596,0.957569
21100,0.953569,0.929705
21600,0.946976,0.930694
22100,0.943368,0.949148
22600,0.934873,0.955809
23100,0.940138,0.912784
23600,0.941274,0.941797
24100,0.94152,0.971664
24600,0.946773,0.939814
25100,0.946464,0.944812
25600,0.949524,0.950389
26100,0.93762,0.921158
26600,0.944314,0.917272
27100,0.946667,0.979435
27600,0.945256,0.946233
28100,0.935498,0.914212
28600,0.944056,0.934658
29100,0.944212,0.918257
29600,0.941565,0.959734
30100,0.946844,0.945769
30600,0.947712,0.95496
31100,0.938555,0.950135
31600,0.944769,0.945464
32100,0.940615,0.939083
32600,0.949291,0.929245
33100,0.942598,0.914009
33600,0.941685,0.945591
34100,0.941395,0.912521
34600,0.940119,0.936902
35100,0.941195,0.926383
35600,0.939475,0.973854
36100,0.942694,0.950746
36600,0.95099,0.939655
37100,0.940448,0.956411
37600,0.944814,0.976416
38100,0.94033,0.9623
38600,0.943855,0.944951
39100,0.938539,0.965096
39600,0.941327,0.94364
40100,0.950865,0.919254
40600,0.951316,0.943371
41100,0.944077,0.971246
41600,0.941707,0.935005
42100,0.944886,0.945584
42600,0.943479,0.938445
43100,0.951711,0.933544
43600,0.944954,0.924431
44100,0.943771,0.901575
44600,0.947905,0.94108
45100,0.943701,0.973109
45600,0.943462,0.929799
46100,0.94699,0.942315
46600,0.944575,0.967763
47100,0.942476,0.927785
47600,0.948497,0.940344
48100,0.946011,0.948723
48600,0.940426,0.944883
49100,0.944947,0.938495
49600,0.945943,0.968844
50100,0.944954,0.950263
50600,0.944695,0.937931
51100,0.951382,0.962735
51600,0.945797,0.924369
52100,0.949616,0.962921
52600,0.949857,0.933017
53100,0.947093,0.946468
53600,0.948082,0.938009
54100,0.940273,0.92934
54600,0.946457,0.970079
55100,0.945298,0.942007
55600,0.946886,0.950311
56100,0.946273,0.944672
56600,0.94131,0.905297
57100,0.948336,0.951239
57600,0.942708,0.92765
58100,0.941884,0.955702
58600,0.944006,0.940944
59100,0.948472,0.936677
59600,0.948144,0.961117
60100,0.94049,0.945692
60600,0.943482,0.957374
61100,0.946681,0.949864
61600,0.948635,0.948759
62100,0.940469,0.932172
62600,0.941643,0.931859
63100,0.940422,0.948849
63600,0.944846,0.939361
64100,0.949322,0.941322
64600,0.946256,0.949549
65100,0.944292,0.95384
65600,0.947218,0.947024
66100,0.942937,0.955322
66600,0.947236,0.945468
67100,0.94395,0.934874
67600,0.940551,0.950857
68100,0.947481,0.945042
68600,0.94841,0.944662
69100,0.942407,0.936104
69600,0.943202,0.933941
70100,0.942426,0.922608
70600,0.945888,0.963438
71100,0.944422,0.937683
71600,0.941232,0.946102
72100,0.945063,0.947248
72600,0.942536,0.93102
73100,0.941476,0.954515
73600,0.945758,0.939267
74100,0.942708,0.944847
74600,0.944349,0.964451
75100,0.945406,0.958558
75600,0.940972,0.937913
76100,0.940662,0.947918
76600,0.945496,0.930202
77100,0.940418,0.963036
77600,0.943359,0.932408
78100,0.939661,0.956422
78600,0.943205,0.944531
79100,0.942043,0.940317
79600,0.949631,0.955103
80100,0.941948,0.946787
80600,0.945661,0.949408
81100,0.945688,0.939151
81600,0.946059,0.931207
82100,0.943133,0.947895
82600,0.938011,0.957533
83100,0.94331,0.931115
83600,0.944285,0.930412
84100,0.940547,0.952253
84600,0.944906,0.941465
85100,0.940805,0.956221
85600,0.942118,0.939971
86100,0.943471,0.936933
86600,0.944104,0.971855
87100,0.945052,0.94953
87600,0.946401,0.946942
88100,0.939912,0.922421
88600,0.938399,0.942414
89100,0.948706,0.9555
89600,0.945958,0.941198
90100,0.946032,0.943133
90600,0.941691,0.947894
91100,0.949112,0.959574
91600,0.944971,0.946321
92100,0.947628,0.928362
92600,0.945026,0.941459
93100,0.947922,0.927237
93600,0.949586,0.932461
94100,0.94371,0.958824
94600,0.940836,0.944735
95100,0.944171,0.938412
95600,0.947503,0.968793
96100,0.943874,0.94589
96600,0.94824,0.95332
97100,0.942923,0.953112
97600,0.948851,0.949754
98100,0.945575,0.94198
98600,0.941066,0.946965
99100,0.943428,0.940485
99600,0.944575,0.949512
